"AcaPella"
"Band"
"Break"
"Bridge"
"Chorus"
"Count"
"End"
"Instrumental"
"Intro"
"KeyChange"
"Outro"
"PreChorus"
"Ready"
"Riff"
"Solo"
"Tag"
"Turn"
"Verse"
